t,x1,y1,x2,y2,x3,y3,x4,y4
9936000,1200981.578,1383656.526,-6.215881755e+10,1.347237349e+11,-1.074176096e+11,-1.41486773e+10,1.114627344e+11,1.97108436e+11
10022400,1207663.015,1409763.692,-6.450885645e+10,1.336240783e+11,-1.070227431e+11,-1.714433395e+10,1.096289149e+11,1.98118921e+11
10108800,1214084.906,1435965.369,-6.683932625e+10,1.324838873e+11,-1.065445856e+11,-2.012664688e+10,1.077857368e+11,1.991124932e+11
10195200,1220246.233,1462254.889,-6.914952373e+10,1.31303515e+11,-1.059836051e+11,-2.309331319e+10,1.059333558e+11,2.000890649e+11
10281600,1226146.153,1488625.589,-7.14387522e+10,1.300833271e+11,-1.053403321e+11,-2.604204733e+10,1.040719284e+11,2.010485497e+11
10368000,1231783.993,1515070.816,-7.370632177e+10,1.288237013e+11,-1.046153593e+11,-2.897058279e+10,1.02201612e+11,2.019908626e+11
10454400,1237159.254,1541583.932,-7.595154952e+10,1.275250276e+11,-1.038093411e+11,-3.187667372e+10,1.003225648e+11,2.0291592e+11
10540800,1242271.605,1568158.315,-7.817375977e+10,1.261877078e+11,-1.029229922e+11,-3.475809657e+10,9.843494587e+10,2.0382364e+11
10627200,1247120.882,1594787.366,-8.037228423e+10,1.248121555e+11,-1.019570875e+11,-3.761265161e+10,9.653891499e+10,2.047139419e+11
10713600,1251707.091,1621464.515,-8.254646228e+10,1.23398796e+11,-1.009124604e+11,-4.04381645e+10,9.463463276e+10,2.055867466e+11
10800000,1256030.401,1648183.219,-8.469564111e+10,1.219480661e+11,-9.979000286e+10,-4.323248778e+10,9.272226053e+10,2.064419764e+11
10886400,1260091.147,1674936.972,-8.681917596e+10,1.204604139e+11,-9.859066381e+10,-4.599350237e+10,9.080196041e+10,2.072795552e+11
10972800,1263889.825,1701719.306,-8.891643033e+10,1.18936299e+11,-9.731544847e+10,-4.871911899e+10,8.887389525e+10,2.080994082e+11
11059200,1267427.09,1728523.798,-9.098677615e+10,1.173761915e+11,-9.596541729e+10,-5.140727957e+10,8.693822862e+10,2.089014623e+11
11145600,1270703.758,1755344.068,-9.302959399e+10,1.15780573e+11,-9.454168499e+10,-5.405595862e+10,8.49951248e+10,2.096856458e+11
11232000,1273720.8,1782173.788,-9.504427324e+10,1.141499353e+11,-9.304541949e+10,-5.666316458e+10,8.304474878e+10,2.104518885e+11
11318400,1276479.342,1809006.686,-9.70302123e+10,1.12484781e+11,-9.147784086e+10,-5.922694111e+10,8.108726622e+10,2.11200122e+11
11404800,1278980.661,1835836.543,-9.898681878e+10,1.107856232e+11,-8.984022021e+10,-6.174536837e+10,7.912284345e+10,2.119302789e+11
11491200,1281226.186,1862657.207,-1.009135097e+11,1.090529848e+11,-8.813387858e+10,-6.421656426e+10,7.715164746e+10,2.126422938e+11
11577600,1283217.493,1889462.585,-1.028097115e+11,1.072873991e+11,-8.636018579e+10,-6.663868558e+10,7.517384589e+10,2.133361027e+11
11664000,1284956.304,1916246.656,-1.046748605e+11,1.054894091e+11,-8.452055929e+10,-6.900992924e+10,7.318960699e+10,2.14011643e+11
11750400,1286444.482,1943003.469,-1.065084028e+11,1.036595674e+11,-8.261646297e+10,-7.132853336e+10,7.119909963e+10,2.146688539e+11
11836800,1287684.034,1969727.148,-1.083097948e+11,1.017984361e+11,-8.064940592e+10,-7.359277838e+10,6.920249327e+10,2.15307676e+11
11923200,1288677.102,1996411.894,-1.100785027e+11,9.990658654e+10,-7.862094127e+10,-7.580098809e+10,6.719995797e+10,2.159280515e+11
12009600,1289425.967,2023051.989,-1.118140034e+11,9.79845993e+10,-7.653266486e+10,-7.795153067e+10,6.519166435e+10,2.165299243e+11
12096000,1289933.039,2049641.8,-1.135157844e+11,9.603306367e+10,-7.438621406e+10,-8.00428197e+10,6.317778357e+10,2.171132397e+11
12182400,1290200.861,2076175.779,-1.151833435e+11,9.405257767e+10,-7.218326641e+10,-8.207331504e+10,6.115848736e+10,2.176779446e+11
12268800,1290232.104,2102648.469,-1.168161896e+11,9.204374784e+10,-6.992553841e+10,-8.404152382e+10,5.913394795e+10,2.182239877e+11
